date,description,amount,category,type
2025-10-20,Date night,-56.40,Entertainment,Expense
2025-10-22,Phone bill,-55.00,Utilities,Expense
2025-10-24,Paycheck,3256.73,Salary,Income
2025-10-25,Grocery run,-72.31,Food,Expense
2025-10-26,Gas,-41.58,Transport,Expense
2025-10-27,Pharmacy,-21.09,Other,Expense
2025-10-29,Online shopping,-63.77,Shopping,Expense
2025-10-30,Grocery run,-84.95,Food,Expense
2025-11-01,Rent,-1500.00,Rent,Expense
2025-11-02,Internet,-69.99,Utilities,Expense
2025-11-03,Grocery run,-77.88,Food,Expense
2025-11-04,Gas,-39.74,Transport,Expense
2025-11-05,Electric bill,-151.08,Utilities,Expense
2025-11-06,Restaurant,-33.27,Food,Expense
2025-11-07,Paycheck,3341.02,Salary,Income
2025-11-08,Weekend outing,-24.90,Entertainment,Expense
2025-11-09,Gas,-44.61,Transport,Expense
2025-11-10,Grocery run,-95.23,Food,Expense
2025-11-12,Coffee,-6.80,Food,Expense
2025-11-13,Streaming subscription,-15.99,Entertainment,Expense
2025-11-14,Household supplies,-29.41,Shopping,Expense
2025-11-15,Grocery run,-68.17,Food,Expense
2025-11-16,Auto insurance,-112.38,Other,Expense
2025-11-18,Takeout,-23.55,Food,Expense
2025-11-19,Gas,-41.12,Transport,Expense
2025-11-21,Paycheck,3288.60,Salary,Income
2025-11-22,Phone bill,-55.00,Utilities,Expense
2025-11-23,Grocery run,-82.49,Food,Expense
2025-11-24,Black Friday shopping,-187.34,Shopping,Expense
2025-11-26,Travel weekend,-214.22,Other,Expense
2025-11-28,Restaurant,-46.70,Food,Expense
2025-11-30,Gas,-42.05,Transport,Expense
2025-12-01,Rent,-1500.00,Rent,Expense
2025-12-02,Internet,-69.99,Utilities,Expense
2025-12-03,Grocery run,-91.36,Food,Expense
2025-12-04,Electric bill,-168.55,Utilities,Expense
2025-12-05,Paycheck,3369.14,Salary,Income
2025-12-06,Gas,-44.28,Transport,Expense
2025-12-07,Holiday gifts,-134.88,Shopping,Expense
2025-12-08,Coffee,-5.85,Food,Expense
2025-12-09,Streaming subscription,-15.99,Entertainment,Expense
2025-12-10,Grocery run,-73.44,Food,Expense
2025-12-12,Restaurant,-39.18,Food,Expense
2025-12-13,Gas,-40.92,Transport,Expense
2025-12-14,Movie night,-21.00,Entertainment,Expense
2025-12-15,Grocery run,-97.21,Food,Expense
2025-12-16,Car repair,-612.47,Other,Expense
2025-12-18,Takeout,-27.63,Food,Expense
2025-12-19,Paycheck,3315.49,Salary,Income
2025-12-20,Phone bill,-55.00,Utilities,Expense
2025-12-21,Gas,-43.37,Transport,Expense
2025-12-22,Grocery run,-86.90,Food,Expense
2025-12-23,Year-end bonus,450.00,Other,Income
2025-12-24,Holiday dinner,-58.72,Food,Expense
2025-12-26,Online shopping,-79.11,Shopping,Expense
2025-12-28,Grocery run,-62.05,Food,Expense
2025-12-30,New years outing,-48.25,Entertainment,Expense
